"","date","util"
"546",2015-10-31 13:28:00,1.918
"547",2015-10-29 16:08:00,4.84
"548",2015-10-30 02:03:00,7.708
"549",2015-11-02 08:03:00,0.926
"550",2015-11-02 00:53:00,21.32
"551",2015-11-01 11:28:00,1.078
"552",2015-10-30 15:38:00,3.958
"553",2015-11-01 17:28:00,5.668
"554",2015-10-29 10:58:00,1.468
"555",2015-10-29 23:08:00,20.872
"556",2015-11-01 11:18:00,1.05
"557",2015-11-02 12:28:00,0.882
"558",2015-11-02 20:23:00,5.042
"559",2015-10-31 07:28:00,1.618
"560",2015-11-01 02:53:00,10.012
"561",2015-10-31 02:03:00,15.02
"562",2015-11-01 12:38:00,1.042
"563",2015-10-31 16:58:00,5.838
"564",2015-11-01 04:23:00,5.244
"565",2015-11-02 06:38:00,1.936
"566",2015-10-29 00:53:00,11.39
"567",2015-11-01 02:33:00,12.5
"568",2015-10-30 16:23:00,3.91
"569",2015-11-01 05:58:00,2.834
"570",2015-11-01 10:13:00,1.156
"571",2015-11-02 01:38:00,12.448
"572",2015-10-29 05:58:00,1.38
"573",2015-11-02 03:28:00,4.934
"574",2015-10-30 08:53:00,1.044
"575",2015-10-31 20:28:00,28.958
"576",2015-10-30 22:18:00,37.622
"577",2015-11-01 23:23:00,25.732
"578",2015-10-30 00:43:00,15.282
"579",2015-10-29 22:33:00,18
"580",2015-10-31 04:53:00,3.75
"581",2015-10-30 08:03:00,1.05
"582",2015-10-29 11:28:00,0.906
"583",2015-10-31 06:43:00,1.99
"584",2015-11-01 14:58:00,1.956
"585",2015-10-30 16:13:00,3.934
"586",2015-10-30 22:33:00,36.24
"587",2015-10-29 08:48:00,0.892
"588",2015-10-29 23:23:00,19.648
"589",2015-11-01 11:58:00,1.134
"590",2015-10-30 06:33:00,2.086
"591",2015-11-02 22:23:00,9.394
"592",2015-11-02 14:28:00,1.026
"593",2015-10-30 01:08:00,13.648
"594",2015-10-29 22:53:00,17.492
"595",2015-11-01 09:08:00,0.882
"596",2015-11-02 13:18:00,1.032
"597",2015-10-31 04:28:00,4.81
"598",2015-10-30 15:33:00,3.958
"599",2015-10-31 01:43:00,17.31
"600",2015-10-29 18:13:00,5.626
"601",2015-10-31 05:23:00,3.058
"602",2015-11-01 08:48:00,1.182
"603",2015-11-02 07:03:00,1.15
"604",2015-10-28 23:58:00,18.262
"605",2015-10-30 02:33:00,4.776
"606",2015-10-29 23:33:00,22.368
"607",2015-10-31 11:13:00,1.11
"608",2015-10-29 19:33:00,6.966
"609",2015-10-30 04:23:00,3.4
"610",2015-11-02 04:38:00,3.55
"611",2015-11-02 06:53:00,1.324
"612",2015-10-31 17:08:00,6.26
"613",2015-11-02 01:03:00,18.25
"614",2015-10-31 06:58:00,1.596
"615",2015-11-01 00:43:00,29.342
"616",2015-11-01 23:03:00,26.574
"617",2015-10-31 15:48:00,3.89
"618",2015-10-31 09:38:00,0.906
"619",2015-10-31 14:28:00,2.578
"620",2015-10-29 02:58:00,4.858
"621",2015-10-31 04:08:00,5.294
"622",2015-11-01 10:53:00,0.968
"623",2015-11-01 06:38:00,2.104
"624",2015-10-31 19:28:00,15.908
"625",2015-11-02 11:48:00,0.86
"626",2015-11-02 12:53:00,0.908
"627",2015-11-01 11:53:00,1
"628",2015-11-02 02:53:00,8.068
"629",2015-10-30 23:08:00,40.91
"630",2015-11-02 02:43:00,7.682
"631",2015-10-29 04:18:00,3.29
"632",2015-10-29 03:03:00,4.412
"633",2015-10-31 01:58:00,14.578
"634",2015-10-30 12:23:00,1.392
"635",2015-10-30 12:13:00,1.2
"636",2015-10-30 00:48:00,15.154
"637",2015-10-31 20:33:00,25.952
"638",2015-11-02 22:58:00,10.24
"639",2015-10-31 08:18:00,1.05
"640",2015-11-02 08:18:00,0.942
"641",2015-11-01 05:08:00,3.6
"642",2015-10-31 04:38:00,3.732
"643",2015-11-02 09:38:00,1.024
"644",2015-10-29 08:03:00,1.25
"645",2015-10-29 22:43:00,20.724
"646",2015-10-30 13:43:00,1.674
"647",2015-10-29 09:28:00,0.926
"648",2015-11-01 23:43:00,24.248
"649",2015-10-30 11:03:00,1.048
"650",2015-10-29 13:38:00,1.694
"651",2015-11-02 03:43:00,3.634
"652",2015-10-30 02:08:00,7.36
"653",2015-11-01 20:08:00,10.286
"654",2015-10-29 15:03:00,3.402
"655",2015-11-01 00:18:00,37.892
"656",2015-11-02 08:43:00,0.884
"657",2015-10-30 11:33:00,0.984
"658",2015-11-02 10:38:00,0.962
"659",2015-10-29 05:23:00,1.79
"660",2015-10-29 00:38:00,14.55
"661",2015-11-02 10:48:00,0.824
"662",2015-10-29 17:58:00,4.36
"663",2015-10-29 07:43:00,1.108
"664",2015-10-29 08:13:00,0.984
"665",2015-11-01 14:48:00,1.626
"666",2015-10-29 20:53:00,10.742
"667",2015-11-02 21:23:00,5.832
"668",2015-10-29 22:03:00,17.336
"669",2015-10-30 20:43:00,15.82
"670",2015-11-01 22:18:00,23.734
"671",2015-11-02 04:28:00,3.568
"672",2015-10-29 03:28:00,3.558
"673",2015-10-31 15:28:00,3.526
"674",2015-10-30 09:13:00,1.15
"675",2015-11-02 02:28:00,8.3
"676",2015-11-01 19:33:00,8.288
"677",2015-10-29 05:13:00,1.932
"678",2015-10-30 08:38:00,0.9
"679",2015-11-01 16:58:00,5.116
"680",2015-10-30 13:08:00,1.574
"681",2015-10-29 15:23:00,3.358
"682",2015-11-02 15:48:00,3.134
